Delta,Theta,Alpha,Beta,Gamma,Extra
58815.98886,24018.65241,6701.194235,2774.806246,1863.268563,390.3213831
8084.515488,16535.35883,6767.816198,3234.641986,2929.327566,195.3944369
8100.059739,8761.322286,4171.41834,2617.088448,1964.991983,208.5525871
3875.671587,2885.684677,2010.187671,2075.274023,1478.777387,149.222872
3302.840211,6363.291283,3982.977397,2754.889896,1474.520188,128.4164958
2736.708871,1933.015595,2060.282595,2884.669516,1565.083655,248.4616507
6861.181494,13215.42808,5372.319826,3947.856173,1423.537698,163.3869352
6859.852945,2911.087542,3673.90106,3380.051058,1835.053857,82.95164596
7964.995472,2035.305273,1594.205366,2103.516677,1151.658756,107.7610028
4823.582594,4997.536798,2106.793159,2478.808559,1201.409504,128.7142421
3831.687019,6206.124527,2908.568814,2834.341438,1801.449358,257.1872551
3692.421737,2640.226576,1842.771239,2341.946306,1296.850829,182.7865928
3154.273381,4107.692735,2402.097991,2789.163534,1432.249859,171.7301487
